Which logic gate outputs true when any input is true?,or,,,,,,,,
Which logic outputs the opposite value of the input?,not,,,,,,,,
What type of logic gate is False when both inputs are True?,nand,not and,nor,xor,not or,exclusive or,,,
What type of logic gate would return False if one input was True and another False?,xnor,nor,and,not or,exclusive not or,,,,
What type of a device is a keyboard?,input,,,,,,,,
What type of device is a mouse?,input,,,,,,,,
What type of device is a monitor?,output,,,,,,,,
Which interface is based on typed commands?,command line,commandline,,,,,,,
Which interface is based on icons?,gui,graphical user interface,,,,,,,
Which hardware device allows a user to interact with it using touch?,touch screen,touchscreen,,,,,,,
What is the name given to using a partition of secondary storage as main memory?,virtualisation,swap memory,virtual memory,,,,,,
What is the name of the suffix of a filename which identifies what type of file it is?,file extension,extension,,,,,,,
What is the name for additional data given to files which describes the file?,metadata,meta data,,,,,,,
How many values does binary use to represent numbers?,2,,,,,,,,
What is each digit called in a binary number?,bit,,,,,,,,
How many values does hexadecimal use to represent numbers?,16,,,,,,,,
How many characters can standard ASCII represent?,128,,,,,,,,
What is the name given to the quality of colour that can be stored on an image?,colour depth,color depth,,,,,,,
What is the name given to the number of pixels an image has in each direction?,resolution,,,,,,,,
What is the name given to the **time** elapsed between each sample in an audio recording?,sample interval,sampling interval,sampling period,sample period,,,,,
What is the name given to the accuracy of each sample in an audio recording?,sample depth,bit depth,,,,,,,
What sort of validation check makes sure the data is filled in?,presence check,,,,,,,,
What sort of vadidation check makes sure the data is in a certain pattern,format check,,,,,,,,
Name a validation type that ensures data is a certain data type.,type check,,,,,,,,
What sort of data type is either True or False?,boolean,,,,,,,,
What networking device connects lots of devices together and broadcasts all data received to the whole network?,hub,,,,,,,,
Which networking device connects two separate LANs?,bridge,router,,,,,,,
Which networking device connects lots of networks together and stores MAC addresses to directly send data?,switch,,,,,,,,
Which network topology has all devices attacked to a single backbone?,bus,,,,,,,,
What network topology has all devices directly connected to the networking device?,star,,,,,,,,
What network topology has all devices connected to neighbouring devices?,ring,,,,,,,,
"In a flowchart, what does the diamond represent?",decisions,conditionals,condition,conditional,decision,,,,
"In a flowchart, what does the parallelogram represent?",I/O,IO,input/output,input or output,inputs or outputs,,,,
Which type of code translator gives the computer precise and direct instructions?,assembler,,,,,,,,
Which type of code translator executes one statement at a time?,interpreter,,,,,,,,
Which type of code translator does not need to be present when trying to run a program created with that translator?,compiler,,,,,,,,
What is the name given to a list of instructions in control flow?,sequence,,,,,,,,
What is the name for when an algorithm could take multiple paths?,selection,branching,,,,,,,
What is the name given to completing a set of instructions several times in control flow?,iteration,,,,,,,,
